label,bits,method,verdict,word_muls,word_div_steps,mod_muls,mod_sqrs,mod_reductions,high_label,high_value,k,seed
Mp1279_primeExp,1279,Lucas-Lehmer,PRIME,2028506,0,0,0,0,LL_iters,1277,10,88172645463325252
Mp0067_composite,67,Trial division,INCONCLUSIVE,0,1497,0,0,499,divisions,499,10,88172645463325252
Mp0067_composite,67,Fermat,COMPOSITE,2256,26,66,66,176,rounds,1,10,88172645463325252
Mp0067_composite,67,Solovay-Strassen,COMPOSITE,2243,41,66,65,200,rounds,1,10,88172645463325252
Mp0067_composite,67,Miller-Rabin,COMPOSITE,2169,5,66,65,133,rounds,1,10,88172645463325252
Mp0067_composite,67,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,10,88172645463325252
Mp0067_composite,67,Lucas-Lehmer,COMPOSITE,505,0,0,0,0,LL_iters,65,10,88172645463325252
Mp0257_composite,257,Trial division,INCONCLUSIVE,0,4491,0,0,499,divisions,499,10,88172645463325252
Mp0257_composite,257,Fermat,COMPOSITE,76680,65,256,256,665,rounds,1,10,88172645463325252
Mp0257_composite,257,Solovay-Strassen,COMPOSITE,76837,78,256,255,763,rounds,1,10,88172645463325252
Mp0257_composite,257,Miller-Rabin,COMPOSITE,75695,44,256,255,519,rounds,1,10,88172645463325252
Mp0257_composite,257,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,10,88172645463325252
Mp0257_composite,257,Lucas-Lehmer,COMPOSITE,17971,0,0,0,0,LL_iters,255,10,88172645463325252
Mp1061_composite,1061,Trial division,INCONCLUSIVE,0,16966,0,0,499,divisions,499,10,88172645463325252
Mp1061_composite,1061,Fermat,COMPOSITE,4904478,644,1060,1060,2747,rounds,1,10,88172645463325252
Mp1061_composite,1061,Solovay-Strassen,COMPOSITE,4909870,654,1060,1059,3133,rounds,1,10,88172645463325252
Mp1061_composite,1061,Miller-Rabin,COMPOSITE,4891981,622,1060,1059,2154,rounds,1,10,88172645463325252
Mp1061_composite,1061,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,10,88172645463325252
Mp1061_composite,1061,Lucas-Lehmer,COMPOSITE,1211337,0,0,0,0,LL_iters,1059,10,88172645463325252
